Median_Income,Median_Age,Tot_Rooms,Tot_Bedrooms,Population,Households,Latitude,Longitude,Distance_to_coast,Distance_to_LA,Distance_to_SanDiego,Distance_to_SanJose,Distance_to_SanFrancisco,Y
6.983882933906529,44,36181.88460803848,4992.62062913775,15224.554844468323,776,36.768371316833594,-120.08841425018159,21094.9386096637,11018.1890015847,168689.069801415,502131.598804816,570150.638590242,446800.0
12.910535962801468,52,8146.364750837627,124.75471791816986,708.0,1755.853498438874,37.76,-122.49,2509.90871433581,562218.719778061,740539.967823367,595294.8325251384,5388.83548070493,500001.0
6.6188,26.793777120326865,4549.076954321987,5366.088152428394,2615.0,950,33.75,-118.09,3216.71585257628,36477.4814808215,143840.554318705,196266.97158470796,594524.533035431,380000.0
8.519445096305125,33.5729543343402,24273.101973298923,4058.5501634262378,7167.201847037599,486,40.7915278808687,-115.63963614087402,175981.116288254,333480.041573125,511183.925039147,715200.2157507399,258197.729080596,235200.0
3.59,34,2004.0,331.0,843.0,328,35.83894301142643,-121.62185617253944,22577.9832136897,46624.9724446979,136090.276485107,537412.688874781,427487.61856601003,230600.0
4.1058,37,417.4941788557666,5145.8217428980215,3958.2815963526023,574.1548889858938,34.0,-118.07,28992.4877122308,17027.2723451822,720586.5024805296,506684.484792026,574719.591933291,369400.0
11.378563451716726,41.93198783042842,1975.0,373.0,15673.225306031416,3696.082003312472,33.93,-124.1610601011891,200392.3980262349,448738.7233643777,154527.378636755,518637.544967429,177703.251841123,213900.0
1.7172,28,826.0,4796.774392329671,5265.716661816408,245,33.72,-116.22,123105.389792627,190416.878113926,572699.02388178,421780.5096818487,381597.2488646186,44600.0
3.346702589021991,20.122419082828507,31776.20752595906,4649.748803718319,14702.911283014004,2058.510411614295,33.85,-117.4,36366.02707003867,286805.5248984076,478810.7261724501,27647.266822481273,629252.558161326,374600.0
5.8096,20,20793.768997962325,449.0,1629.0,428,34.27,-120.63479139817389,327360.82031256444,800833.4493994635,908168.0646354532,352753.67311959335,443486.13606981596,198700.0
3.5469,36,1465.0,363.0,9027.95903125904,4990.451524856207,40.63633501939951,-123.31984047001822,29589.2017401574,14920.4131652698,167789.13295857,504626.436596758,266418.78949157475,181300.0
1.5054,2.195057380860128,1632.0,5371.911495085109,3356.0,659,33.75,-117.86,137317.07306282295,48819.5697413484,132104.22858559,198277.60991683527,758128.4755228303,72400.0
5.971178267973965,23,2831.0,406.0,9655.03830081426,393,34.3,-120.63069631501256,166736.83486730856,155378.3149807858,226688.298609898,687296.2280371181,899757.0678671958,167700.0
1.9943,28.305103985560223,36559.54370132601,640.0,6498.95129397787,81.57454425506548,33.28194587992346,-115.77054063028544,149575.175879968,205634.21160044312,943265.914207979,345805.0690919,295588.271600388,43100.0
7.868646889575375,33.53788039232821,29547.80213303594,275.0,877.0,555.7503218549793,40.35712534589542,-118.27,279715.7782815559,12713.5992192259,731812.9627992909,499659.00625581,624836.720977391,383300.0
2.5517,52,28077.763463392374,3344.955104538372,638.0,71.61013537261638,40.26663544845415,-118.67960815745286,1540.81975706335,570863.139147654,750040.387931896,768130.8454642352,321511.7244508967,70000.0
0.9288,46.021597460063504,15969.629401185888,4849.515876210761,567.0,204,34.56728079315637,-118.99,276048.30035166116,17815.02642601989,241739.4761630473,343271.098371442,38484.42629027096,77700.0
4.985283319450544,44.10549591563294,3161.0,813.0,1865.0,2565.3797107208884,37.381766151691615,-118.29,86210.32021613211,719919.5293092184,980525.1058626635,516649.389335362,584546.913955409,172100.0
3.25,20.774439707963914,24584.136578448386,3890.652470767467,1555.0,1576.323059306598,40.947874048040376,-117.36,74870.9265053078,81637.0596655463,156130.403990224,759950.8028504209,36465.829458312255,99400.0
